"","time","GDP","GDP_change","NPL","NPL_change","Unempl","Unempl_change","HPI","HPI_change","Inflation","Inflation_change","Bonds","Bonds_change","Inter","Inter_change"
"13",2001-01-01,60.951,0.0404860514610569,3.4,-25.4113345521024,22.3,9.31372549019607,NA,NA,7.36095051626593,-3.23739250234551,0.55,-15.3846153846155,NA,NA
"14",2001-02-01,61.2466666666667,0.485089115300273,3.33333333333333,-1.9607843137255,21.5,-3.58744394618834,NA,NA,7.23171551598038,-1.75568359004686,0.569999999999999,3.63636363636356,NA,NA
"15",2001-03-01,61.5423333333333,0.482747360400558,3.26666666666667,-1.99999999999999,20.7,-3.72093023255814,NA,NA,7.10248051569483,-1.787058686144,0.61,7.01754385964929,NA,NA
"16",2001-04-01,61.838,0.48042810639831,3.2,-2.04081632653061,19.9,-3.86473429951691,NA,NA,6.97324551540928,-1.81957556940806,0.56,-8.19672131147552,NA,NA
"17",2001-05-01,62.0763333333333,0.385415655961269,3.13333333333333,-2.08333333333334,19.6333333333333,-1.34003350083752,NA,NA,6.84401051512373,-1.85329772198572,0.49,-12.4999999999999,NA,NA
"18",2001-06-01,62.3146666666667,0.383935906867357,3.06666666666667,-2.12765957446809,19.3666666666667,-1.35823429541595,NA,NA,6.71477551483818,-1.8882934209404,0.48,-2.04081632653057,NA,NA
"19",2001-07-01,62.553,0.38246747689147,3,-2.17391304347825,19.1,-1.37693631669535,NA,NA,6.58554051455263,-1.92463619967592,0.49,2.08333333333329,NA,NA
"20",2001-08-01,62.742,0.302143782072802,2.93333333333333,-2.22222222222223,19.4,1.57068062827225,NA,NA,6.45630551426707,-1.96240536368988,0.51,4.08163265306114,NA,NA
"21",2001-09-01,62.931,0.301233623410156,2.86666666666667,-2.27272727272726,19.7,1.5463917525773,NA,NA,6.32707051398152,-2.00168656826987,0.5,-1.96078431372545,NA,NA
"22",2001-10-01,63.12,0.300328931687086,2.8,-2.32558139534884,20,1.52284263959391,NA,NA,6.19783551369597,-2.04257246698877,0.470000000000001,-5.99999999999987,NA,NA
"23",2001-11-01,63.4823333333333,0.574038867765101,2.73333333333333,-2.38095238095237,20,0,NA,NA,6.06860051341042,-2.08516344133314,0.45,-4.25531914893626,NA,NA
"24",2001-12-01,63.8446666666667,0.570762469348426,2.66666666666667,-2.43902439024389,20,0,NA,NA,5.93936551312487,-2.12956842355938,0.39,-13.3333333333334,NA,NA
"25",2002-01-01,64.207,0.567523259577932,2.6,-2.50000000000001,20,0,NA,NA,5.81013051283932,-2.17590582697707,0.38,-2.56410256410251,NA,NA
"26",2002-02-01,64.192,-0.0233619387294229,2.65,1.92307692307692,19.3666666666667,-3.16666666666666,NA,NA,5.50571188988096,-5.23944552167373,0.39,2.63157894736837,NA,NA
"27",2002-03-01,64.177,-0.023367397806559,2.7,1.8867924528302,18.7333333333333,-3.27022375215146,NA,NA,5.2012932669226,-5.52914189930381,0.34,-12.8205128205128,NA,NA
"28",2002-04-01,64.162,-0.0233728594356242,2.75,1.85185185185185,18.1,-3.38078291814946,NA,NA,4.89687464396424,-5.8527486787622,0.359999999999999,5.88235294117635,NA,NA
"29",2002-05-01,64.3256666666667,0.25508348659124,2.8,1.81818181818183,17.9333333333333,-0.920810313075513,NA,NA,4.59245602100588,-6.21659007206928,0.35,-2.77777777777772,NA,NA
"30",2002-06-01,64.4893333333333,0.254434466283532,2.85,1.78571428571428,17.7666666666667,-0.929368029739764,NA,NA,4.28803739804752,-6.62866713510045,0.350000000000001,2.53765262771465e-13,NA,NA
"31",2002-07-01,64.653,0.253788740256794,2.9,1.75438596491229,17.6,-0.938086303939969,NA,NA,3.98361877508917,-7.09925298452319,0.34,-2.85714285714305,NA,NA
"32",2002-08-01,64.8223333333333,0.261911022432566,2.95,1.72413793103448,17.4333333333333,-0.946969696969704,NA,NA,3.67920015213081,-7.64176092506606,0.36,5.88235294117661,NA,NA
"33",2002-09-01,64.9916666666667,0.261226840543652,3,1.69491525423728,17.2666666666667,-0.956022944550656,NA,NA,3.37478152917245,-8.27404355215781,0.350000000000001,-2.77777777777772,NA,NA
"34",2002-10-01,65.161,0.260546223874846,3.05,1.66666666666668,17.1,-0.965250965250972,NA,NA,3.07036290621409,-9.02039495970004,0.33,-5.71428571428584,NA,NA
"35",2002-11-01,65.0253333333333,-0.208202247765789,3.1,1.63934426229508,16.6,-2.92397660818713,NA,NA,2.76594428325573,-9.91474403049386,0.279999999999999,-15.1515151515154,NA,NA
"36",2002-12-01,64.8896666666667,-0.208636633927288,3.15,1.61290322580646,16.1,-3.01204819277108,NA,NA,2.46152566029737,-11.0059564395865,0.25,-10.7142857142855,NA,NA
"37",2003-01-01,64.754,-0.209072836455726,3.2,1.58730158730158,15.6,-3.10559006211181,NA,NA,2.15710703733901,-12.3670708726873,0.25,0,NA,NA
"38",2003-02-01,65.0366666666667,0.436523869825294,3.1,-3.125,15,-3.84615384615384,NA,NA,2.50619254616736,16.1830406551812,0.29,16,NA,NA
